00.000.208/0022-35,C:\desif\2018\00000208.DESIF,00.000.208/0022-35,00.000.208/0022-35
00.360.305/5499-47,C:\desif\2018\00360305.DESIF,00.360.305/5499-47,00.360.305/5499-47
00.360.305/5548-60,C:\desif\2018\00360305.DESIF,00.360.305/5548-60,00.360.305/5548-60
00.416.968/0022-28,C:\desif\2018\00416968.DESIF,00.416.968/0022-28,00.416.968/0022-28
00.460.065/0001-10,C:\desif\2018\00460065.DESIF,00.460.065/0001-10,00.460.065/0001-10
00.460.065/0004-62,C:\desif\2018\00460065.DESIF,00.460.065/0004-62,00.460.065/0004-62
00.655.522/0048-95,C:\desif\2018\00655522.DESIF,00.655.522/0048-95,00.655.522/0048-95
00.806.535/0002-35,C:\desif\2018\00806535.DESIF,00.806.535/0002-35,00.806.535/0002-35
01.149.953/0051-48,C:\desif\2018\01149953.DESIF,01.149.953/0051-48,01.149.953/0051-48
01.522.368/0003-44,C:\desif\2018\01522368.DESIF,01.522.368/0003-44,01.522.368/0003-44
01.582.158/0001-80,C:\desif\2018\01582158.DESIF,01.582.158/0001-80,01.582.158/0001-80
01.800.019/0014-08,C:\desif\2018\01800019.DESIF,01.800.019/0014-08,01.800.019/0014-08
02.201.501/0001-61,C:\desif\2018\02201501.DESIF,02.201.501/0001-61,02.201.501/0001-61
02.276.653/0003-95,C:\desif\2018\02276653.DESIF,02.276.653/0003-95,02.276.653/0003-95
02.332.886/0001-04,C:\desif\2018\02332886.DESIF,02.332.886/0001-04,02.332.886/0001-04
03.282.508/0001-18,C:\desif\2018\03282508.DESIF,03.282.508/0001-18,03.282.508/0001-18
03.323.840/0004-26,C:\desif\2018\03323840.DESIF,03.323.840/0004-26,03.323.840/0004-26
03.384.738/0005-11,C:\desif\2018\03384738.DESIF,03.384.738/0005-11,03.384.738/0005-11
03.751.794/0003-85,C:\desif\2018\03751794.DESIF,03.751.794/0003-85,03.751.794/0003-85
04.257.795/0003-30,C:\desif\2018\04257795.DESIF,04.257.795/0003-30,04.257.795/0003-30
04.316.357/0001-34,C:\desif\2018\04316357.DESIF,04.316.357/0001-34,04.316.357/0001-34
04.913.129/0034-00,C:\desif\2018\04913129.DESIF,04.913.129/0034-00,04.913.129/0034-00
05.389.174/0001-01,C:\desif\2018\05389174.DESIF,05.389.174/0001-01,05.389.174/0001-01
05.816.451/0002-04,C:\desif\2018\05816451.DESIF,05.816.451/0002-04,05.816.451/0002-04
05.940.203/0001-81,C:\desif\2018\05940203.DESIF,05.940.203/0001-81,05.940.203/0001-81
07.138.049/0001-54,C:\desif\2018\07138049.DESIF,07.138.049/0001-54,07.138.049/0001-54
07.237.373/0064-03,C:\desif\2018\07237373.DESIF,07.237.373/0064-03,07.237.373/0064-03
07.450.604/0014-01,C:\desif\2018\07450604.DESIF,07.450.604/0014-01,07.450.604/0014-01
07.652.226/0001-16,C:\desif\2018\07652226.DESIF,07.652.226/0001-16,07.652.226/0001-16
08.609.934/0007-22,C:\desif\2018\08609934.DESIF,08.609.934/0007-22,08.609.934/0007-22
09.105.360/0001-22,C:\desif\2018\09105360.DESIF,09.105.360/0001-22,09.105.360/0001-22
10.690.848/0002-24,C:\desif\2018\10690848.DESIF,10.690.848/0002-24,10.690.848/0002-24
10.749.264/0001-04,C:\desif\2018\10749264.DESIF,10.749.264/0001-04,10.749.264/0001-04
10.853.017/0009-00,C:\desif\2018\10853017.DESIF,10.853.017/0009-00,10.853.017/0009-00
12.063.256/0001-27,C:\desif\2018\12063256.DESIF,12.063.256/0001-27,12.063.256/0001-27
12.586.596/0017-08,C:\desif\2018\12586596.DESIF,12.586.596/0017-08,12.586.596/0017-08
13.293.225/0001-25,C:\desif\2018\13293225.DESIF,13.293.225/0001-25,13.293.225/0001-25
13.728.156/0022-60,C:\desif\2018\13728156.DESIF,13.728.156/0022-60,13.728.156/0022-60
13.728.156/0074-90,C:\desif\2018\13728156.DESIF,13.728.156/0074-90,13.728.156/0074-90
